metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
conversion_p04,0.1,52744,post_stratified,1500,0.69,0.6661345750207683,0.7128947413055626,0.0016109664519757417,0.03422047742323381
conversion_p04,0.1,75350,post_stratified,1500,0.8426666666666667,0.8233676823317545,0.8602150144813477,0.0013479741850943132,0.03422838557933477
conversion_p04,0.1,105488,post_stratified,1500,0.942,0.9290033955548009,0.9527384876885585,0.001138693706429941,0.03419455117246957
conversion_p04,0.1,143164,post_stratified,1500,0.9886666666666667,0.9819247435172263,0.9929120595255831,0.000977822984905907,0.03422112763510036
revenue_p10,0.05,117428,cuped,1500,0.47733333333333333,0.4521464595955274,0.502636007930454,0.44039853408289126,5693.815656018009
revenue_p10,0.05,167752,cuped,1500,0.626,0.6012208906433683,0.6501353928151461,0.36875254647065,5702.66383888796
revenue_p10,0.05,234854,cuped,1500,0.774,0.7521501186321357,0.794450053333205,0.3117894158027857,5707.694327287298
revenue_p10,0.05,335506,cuped,1500,0.894,0.8774024989848888,0.9085846096076082,0.26125831375600783,5725.066542103572
revenue_p10,0.05,469708,cuped,1500,0.9613333333333334,0.9503395495763649,0.969970229012481,0.2207886655295411,5724.288514749758
revenue_p10,0.05,637462,cuped,1500,0.9953333333333333,0.9903984313813807,0.9977376459184928,0.18931443659682282,5711.65249261452
revenue_p10,0.05,117428,cuped_plus_strata,1500,0.486,0.4607749566085008,0.5112965674516643,0.4356083192927887,5570.626022273396
revenue_p10,0.05,167752,cuped_plus_strata,1500,0.6366666666666667,0.6120066897935231,0.660628432476294,0.3647483583940486,5579.488763321469
revenue_p10,0.05,234854,cuped_plus_strata,1500,0.7866666666666666,0.7652166152863336,0.8066521777674289,0.3084215183028067,5585.0531660394945
revenue_p10,0.05,335506,cuped_plus_strata,1500,0.898,0.8816533254589297,0.9123133476878059,0.2584313075987131,5601.838060280898
revenue_p10,0.05,469708,cuped_plus_strata,1500,0.9653333333333334,0.9548228339303267,0.9734665092127578,0.21840841446073947,5601.530408910333
revenue_p10,0.05,637462,cuped_plus_strata,1500,0.9946666666666667,0.9895110786364689,0.9972950712376982,0.18726086457560553,5588.411246632207
